,Provincia de residencia,Provincia de destino,Flujo origen-destino (nº de personas)
172,Lugo,León,47
174,Lugo,Ourense,513
175,Lugo,Pontevedra,31
176,Madrid,Albacete,23
177,Madrid,Alicante/Alacant,19
178,Madrid,Cuenca,41
179,Madrid,Guadalajara,6215
181,Madrid,Segovia,168
182,Madrid,Sevilla,53
183,Madrid,Toledo,7837
184,Madrid,Ávila,291
186,Melilla,Málaga,25
187,Murcia,Albacete,571
188,Murcia,Alicante/Alacant,3846
189,Murcia,Almería,2484
190,Murcia,Araba/Álava,65
191,Murcia,Girona,83
192,Murcia,Granada,100
193,Murcia,Madrid,91
195,Málaga,Bizkaia,22
196,Málaga,Ceuta,44
197,Málaga,Cádiz,2718
198,Málaga,Córdoba,468
199,Málaga,Granada,1183
200,Málaga,Madrid,47
202,Málaga,Sevilla,226
203,Navarra,Araba/Álava,830
204,Navarra,Gipuzkoa,1066
205,Navarra,Huesca,161
207,Navarra,"Rioja, La",5411
208,Navarra,Zaragoza,1602
209,Ourense,"Coruña, A",79
210,Ourense,León,309
211,Ourense,Lugo,1140
213,Ourense,Pontevedra,1629
214,Ourense,Zamora,244
215,Palencia,Bizkaia,24
216,Palencia,Burgos,520
217,Palencia,Cantabria,107
218,Palencia,León,368
220,Palencia,Valladolid,755
222,"Palmas, Las",Santa Cruz de Tenerife,206
223,Pontevedra,"Coruña, A",8083
224,Pontevedra,Lugo,242
225,Pontevedra,Ourense,416
227,"Rioja, La",Alicante/Alacant,25
228,"Rioja, La",Araba/Álava,3991
229,"Rioja, La",Bizkaia,91
230,"Rioja, La",Burgos,235
231,"Rioja, La",Navarra,3418
233,"Rioja, La",Soria,26
234,Salamanca,Cáceres,450
236,Salamanca,Zamora,205
237,Salamanca,Ávila,319
238,Santa Cruz de Tenerife,"Palmas, Las",16
240,Segovia,Burgos,125
241,Segovia,Guadalajara,25
242,Segovia,Madrid,521
244,Segovia,Valladolid,388
245,Segovia,Ávila,181
246,Sevilla,Badajoz,370
247,Sevilla,Cádiz,2768
248,Sevilla,Córdoba,2082
249,Sevilla,Huelva,818
250,Sevilla,Málaga,800
252,Soria,Burgos,224
253,Soria,"Rioja, La",27
254,Soria,Segovia,71
256,Soria,Zaragoza,129
257,Tarragona,Barcelona,5468
258,Tarragona,Castellón/Castelló,3201
259,Tarragona,Ciudad Real,26
260,Tarragona,Lleida,442
261,Tarragona,Navarra,46
263,Tarragona,Teruel,437
264,Tarragona,Zaragoza,228
265,Teruel,Castellón/Castelló,185
266,Teruel,Guadalajara,98
267,Teruel,Tarragona,68
269,Teruel,Valencia/València,118
270,Teruel,Zaragoza,805
271,Toledo,Castellón/Castelló,29
272,Toledo,Ciudad Real,1708
273,Toledo,Cuenca,386
274,Toledo,Cáceres,570
275,Toledo,Guadalajara,27
276,Toledo,Jaén,94
277,Toledo,Madrid,12710
279,Toledo,Ávila,318
280,Valencia/València,Albacete,250
281,Valencia/València,Alicante/Alacant,1797
282,Valencia/València,Barcelona,17
283,Valencia/València,Castellón/Castelló,1183
284,Valencia/València,Cuenca,229
285,Valencia/València,Cáceres,25
286,Valencia/València,Teruel,95
288,Valladolid,Burgos,67
289,Valladolid,León,404
290,Valladolid,Palencia,939
291,Valladolid,Salamanca,45
292,Valladolid,Segovia,729
294,Valladolid,Zamora,463
295,Valladolid,Ávila,190
296,Zamora,León,417
297,Zamora,Ourense,36
298,Zamora,Salamanca,535
299,Zamora,Valladolid,251
301,Zaragoza,Barcelona,21
302,Zaragoza,Guadalajara,18
303,Zaragoza,Huesca,686
304,Zaragoza,Lleida,197
305,Zaragoza,Navarra,1585
306,Zaragoza,"Rioja, La",200
307,Zaragoza,Soria,281
308,Zaragoza,Tarragona,40
309,Zaragoza,Teruel,371
311,Ávila,Cáceres,317
312,Ávila,Madrid,1063
313,Ávila,Salamanca,267
314,Ávila,Segovia,301
315,Ávila,Toledo,210
316,Ávila,Valladolid,30
