address;available;coordinates;free;name;number;open;ticket;total;type;updated_at
Aragón - Vicente Sancho Tello;19;[727210.757, 4372259.455];1;078_AVDA. ARAGÓN I;78;T;T;20;Point;29/06/2016 10:43
Aragón - Ernesto Ferrer;13;[727325.931, 4372577.687];7;079_AVDA. ARAGON II;79;T;F;20;Point;29/06/2016 10:43
Amadeo de Saboya (frente Ayuntamiento);17;[726887.83, 4372671.832];8;080_AMADEO SAVOIA;80;T;F;25;Point;29/06/2016 10:43
Micer Mascó - Rodriguez Fornos;8;[726996.881, 4372829.01];12;081_DOCTOR FORNOS;81;T;F;20;Point;29/06/2016 10:43
San José de Calasanz - Salas Quiroga;3;[724868.606, 4371774.515];12;026_CALLE_SAN_JOSE_DE_CALASANZ;26;T;F;15;Point;29/06/2016 10:43
San Vicente Martir - Doctor Vilá Barberá;8;[725239.192, 4371470.541];11;027_CALLE_SAN_VICENTE_MARTIR_129;27;T;F;20;Point;29/06/2016 10:43
Navarro Reverter - Grabador Esteve;25;[726425.72, 4372418.341];0;028_NAVARRO REVERTE;28;T;F;25;Point;29/06/2016 10:43
Blasco Ibañez - Yecla;8;[728100.083, 4372686.544];13;096_AVDA. BLASCO IBAÑEZ 6;96;T;T;21;Point;29/06/2016 10:43
Blasco Ibañez 121;0;[728538.878, 4372645.481];23;097_AVDA. BLASCO IBAÑEZ 7;97;T;F;23;Point;29/06/2016 10:43
Don Vicente Guillot - Progreso;2;[729769.995, 4372713.116];13;166_PROGRESO;166;T;F;15;Point;29/06/2016 10:43
Ramiro de Maeztu - Peris Brell;5;[728284.692, 4371990.941];10;072_RAMIRO MAETZU;72;T;F;15;Point;29/06/2016 10:43
Jerónimo Monsoriu - Industria;1;[728582.94, 4371890.3];18;073_JERONIMO MONSORIU;73;T;T;20;Point;29/06/2016 10:43
Plaza San Felipe Neri (Mercado Algirós);1;[727636.956, 4372272.409];18;074_PLAZA SAN FELIPE NERI;74;T;T;20;Point;29/06/2016 10:43
